date,year,day_number,ID_NR,sex,age_class,age_for_analyses,lat,lon,s_length,girth,condition,mass,cub_status,cub_number,to_remove,index,cub_status_complete,ecot,ID_mat,age_mat,litter_size
1992-04-09T00:00:00Z,1992,100,7811,f,2yr,2,78.533,19.283,161,94,3,NA,NA,NA,0,7811_100_1992,n,NA,NA,NA,NA
1992-04-09T00:00:00Z,1992,100,7812,f,subad,4,77.7,18.35,164,102,3,NA,NA,NA,0,7812_100_1992,n,NA,NA,NA,NA
1992-04-12T00:00:00Z,1992,103,7813,m,ad,14,77,15,217,166,4,NA,NA,NA,0,7813_103_1992,n,NA,NA,NA,NA
1992-04-12T00:00:00Z,1992,103,7814,f,ad,5,77.333,15.15,182,103,3,NA,n,NA,0,7814_103_1992,n,C,NA,NA,NA
1992-04-12T00:00:00Z,1992,103,7815,f,ad,6,77.05,16.383,191,114,3,NA,n,NA,0,7815_103_1992,n,C,NA,NA,NA
1992-04-12T00:00:00Z,1992,103,7816,m,ad,13,77,16.55,230,NA,3,NA,NA,NA,0,7816_103_1992,n,NA,NA,NA,NA
1992-04-13T00:00:00Z,1992,104,7757,f,subad,4,77.025,17.383,163,96,4,NA,NA,NA,0,7757_104_1992,n,C,NA,NA,NA
1992-04-13T00:00:00Z,1992,104,7817,f,ad,11,77.9,18.35,201,123,3,NA,yr,1,0,7817_104_1992,n,C,NA,NA,NA
1992-04-13T00:00:00Z,1992,104,7818,m,yr,1,77.9,18.35,165,104,3,NA,NA,NA,0,7818_104_1992,n,NA,NA,NA,NA
1992-04-13T00:00:00Z,1992,104,7819,f,ad,5,77.233,17.433,194,102,3,NA,n,NA,0,7819_104_1992,n,NA,NA,NA,NA
1992-04-13T00:00:00Z,1992,104,7820,m,ad,6,76.983,16.05,185,123,4,NA,NA,NA,0,7820_104_1992,n,NA,NA,NA,NA
1992-04-13T00:00:00Z,1992,104,7821,m,ad,12,77.0833,16.0833,193,133,4,NA,NA,NA,0,7821_104_1992,n,NA,NA,NA,NA
1992-04-13T00:00:00Z,1992,104,7822,f,ad,10,77.783,18.533,181,115,NA,NA,yr,1,0,7822_104_1992,n,C,NA,NA,NA
1992-04-13T00:00:00Z,1992,104,7823,m,yr,1,77.783,18.533,153,93,NA,NA,NA,NA,0,7823_104_1992,n,NA,NA,NA,NA
1992-04-14T00:00:00Z,1992,105,7824,f,subad,4,78.45,20.56,175,103,3,NA,NA,NA,0,7824_105_1992,n,O,NA,NA,NA
1992-04-14T00:00:00Z,1992,105,7825,f,ad,7,77.7,18.3,195,112,4,NA,n,NA,0,7825_105_1992,n,NA,NA,NA,NA
1992-04-14T00:00:00Z,1992,105,7826,f,ad,15,77.583,18.383,189,117,3,NA,c,2,0,7826_105_1992,n,NA,NA,NA,NA
1992-04-15T00:00:00Z,1992,106,7788,f,subad,4,77.9,18.4,185,113.5,3,NA,n,NA,0,7788_106_1992,n,C,NA,NA,NA
1992-04-15T00:00:00Z,1992,106,7827,m,ad,17,77.6,18.417,225,145,4,NA,NA,NA,0,7827_106_1992,n,NA,NA,NA,NA
1992-04-23T00:00:00Z,1992,114,7784,m,ad,21,77.845,14.3677,227,152,3,NA,NA,NA,0,7784_114_1992,n,NA,NA,NA,NA
1992-04-23T00:00:00Z,1992,114,7851,f,ad,11,77.95,18.544,NA,NA,2,NA,c,2,0,7851_114_1992,n,C,NA,NA,NA
1992-04-24T00:00:00Z,1992,115,7802,f,ad,12,77.35,17.67,NA,104,2,NA,c,1,0,7802_115_1992,n,C,NA,NA,NA
