date,year,day_number,ID_NR,sex,age_class,age_for_analyses,s_length,mass,ID_mat,merking_mat,age_mat_field,age_mat_class,age_mat,s_length_mat,girth_mat,mass_mat,condition_mat,litter_size,litter_index
1994-04-19T00:00:00Z,1994,109,7894,f,c,0,NA,9,7893,n,10,ad,13,202,117,NA,3,2,7893_109_1994
1994-04-19T00:00:00Z,1994,109,7895,m,c,0,NA,11,7893,n,10,ad,13,202,117,NA,3,2,7893_109_1994
1995-04-05T00:00:00Z,1995,95,7920,m,c,0,NA,13,7919,n,6,ad,6,189,111,155,2,2,7919_95_1995
1995-04-05T00:00:00Z,1995,95,7921,m,c,0,NA,13,7919,n,6,ad,6,189,111,155,2,2,7919_95_1995
1995-04-08T00:00:00Z,1995,98,7929,m,c,0,67,8.5,7928,n,8,ad,8,187,108,143,2,2,7928_98_1995
1995-04-08T00:00:00Z,1995,98,7930,m,c,0,68,8.8,7928,n,8,ad,8,187,108,143,2,2,7928_98_1995
1995-04-11T00:00:00Z,1995,101,7936,f,c,0,69,9.8,7935,n,8,ad,7,188,125,180,2,1,7935_101_1995
1995-04-11T00:00:00Z,1995,101,7938,m,c,0,72,10,7937,n,8,ad,8,197,110,156,2,2,7937_101_1995
1995-04-11T00:00:00Z,1995,101,7939,f,c,0,74,10.4,7937,n,8,ad,8,197,110,156,2,2,7937_101_1995
1995-04-11T00:00:00Z,1995,101,7941,m,c,0,NA,9.8,7940,n,5,ad,6,188,120,NA,2,2,7940_101_1995
1995-04-11T00:00:00Z,1995,101,7942,m,c,0,NA,10,7940,n,5,ad,6,188,120,NA,2,2,7940_101_1995
1995-04-12T00:00:00Z,1995,102,7945,f,c,0,72,10,7944,n,10,ad,10,190,111,145,2,2,7944_102_1995
1995-04-12T00:00:00Z,1995,102,7946,m,c,0,76,12.4,7944,n,10,ad,10,190,111,145,2,2,7944_102_1995
1995-04-20T00:00:00Z,1995,110,7961,m,c,0,NA,9.5,7949,n,6,ad,8,185,115,NA,2,2,7949_110_1995
1995-04-20T00:00:00Z,1995,110,7962,m,c,0,NA,10,7949,n,6,ad,8,185,115,NA,2,2,7949_110_1995
1995-04-20T00:00:00Z,1995,110,7964,m,c,0,NA,7.5,7963,n,8,ad,6,188,123,NA,2,2,7963_110_1995
1995-04-20T00:00:00Z,1995,110,7965,m,c,0,NA,7,7963,n,8,ad,6,188,123,NA,2,2,7963_110_1995
1996-04-02T00:00:00Z,1996,93,7994,m,c,0,77,11,7993,n,15,ad,14,182,115,NA,3,1,7993_93_1996
1996-04-03T00:00:00Z,1996,94,7998,f,c,0,58,7.3,7997,n,6,ad,7,195,108,NA,2,2,7997_94_1996
1996-04-03T00:00:00Z,1996,94,7999,m,c,0,64,7.3,7997,n,6,ad,7,195,108,NA,2,2,7997_94_1996
1996-04-04T00:00:00Z,1996,95,23005,f,c,0,70,8.4,23004,n,8,ad,9,191,103,151,2,2,23004_95_1996
1996-04-04T00:00:00Z,1996,95,23006,f,c,0,75,9.5,23004,n,8,ad,9,191,103,151,2,2,23004_95_1996
1996-04-06T00:00:00Z,1996,97,23008,m,c,0,71,8.7,23007,n,10,ad,6,185,100,132,2,2,23007_97_1996
1996-04-06T00:00:00Z,1996,97,23009,f,c,0,71,8.7,23007,n,10,ad,6,185,100,132,2,2,23007_97_1996
1996-04-06T00:00:00Z,1996,97,23011,f,c,0,74,10.4,23010,n,10,ad,14,195,123,NA,3,2,23010_97_1996
1996-04-06T00:00:00Z,1996,97,23012,m,c,0,79,12.5,23010,n,10,ad,14,195,123,NA,3,2,23010_97_1996
1996-04-07T00:00:00Z,1996,98,23014,f,c,0,79,11.4,23013,n,10,ad,7,190,114,NA,2,2,23013_98_1996
1996-04-07T00:00:00Z,1996,98,23015,m,c,0,78,12.4,23013,n,10,ad,7,190,114,NA,2,2,23013_98_1996
1996-04-09T00:00:00Z,1996,100,23017,f,c,0,80,12.2,23016,n,8,ad,8,195,107,NA,2,2,23016_100_1996
1996-04-09T00:00:00Z,1996,100,23018,m,c,0,76,12.4,23016,n,8,ad,8,195,107,NA,2,2,23016_100_1996
1996-04-10T00:00:00Z,1996,101,23019,f,c,0,71.5,9,7940,r,10,ad,7,195,111,NA,2,2,7940_101_1996
1996-04-10T00:00:00Z,1996,101,23020,m,c,0,69,8.8,7940,r,10,ad,7,195,111,NA,2,2,7940_101_1996
1996-04-12T00:00:00Z,1996,103,23025,m,c,0,72,10.4,23024,n,8,ad,7,196,114,NA,2,1,23024_103_1996
1996-04-12T00:00:00Z,1996,103,23027,m,c,0,71,9.5,23026,n,10,ad,10,187,119,NA,2,2,23026_103_1996
1996-04-12T00:00:00Z,1996,103,23028,m,c,0,69,9.4,23026,n,10,ad,10,187,119,NA,2,2,23026_103_1996
1996-04-13T00:00:00Z,1996,104,23033,m,c,0,74,11.6,23032,n,9,ad,7,195,111,NA,3,2,23032_104_1996
1996-04-13T00:00:00Z,1996,104,23034,f,c,0,70,10.6,23032,n,9,ad,7,195,111,NA,3,2,23032_104_1996
1996-04-13T00:00:00Z,1996,104,23036,f,c,0,78,10.7,23035,n,9,ad,7,198,112,NA,2,2,23035_104_1996
1996-04-13T00:00:00Z,1996,104,23037,f,c,0,74,10,23035,n,9,ad,7,198,112,NA,2,2,23035_104_1996
1996-04-17T00:00:00Z,1996,108,23040,m,c,0,75,11.7,23039,n,10,ad,6,197,109,NA,2,2,23039_108_1996
1996-04-17T00:00:00Z,1996,108,23041,f,c,0,76,12.7,23039,n,10,ad,6,197,109,NA,2,2,23039_108_1996
1996-04-19T00:00:00Z,1996,110,23043,m,c,0,70,9.4,23042,n,8,ad,7,183,113,NA,2,2,23042_110_1996
1996-04-19T00:00:00Z,1996,110,23044,f,c,0,63,6.8,23042,n,8,ad,7,183,113,NA,2,2,23042_110_1996
1996-04-19T00:00:00Z,1996,110,23047,f,c,0,75,10.4,23046,n,14,ad,21,191,120,NA,3,2,23046_110_1996
1996-04-19T00:00:00Z,1996,110,23048,f,c,0,73,10.2,23046,n,14,ad,21,191,120,NA,3,2,23046_110_1996
1996-04-23T00:00:00Z,1996,114,23050,f,c,0,81,12.7,23049,n,7,ad,9,197,111,NA,2,2,23049_114_1996
1996-04-23T00:00:00Z,1996,114,23051,m,c,0,78,12.9,23049,n,7,ad,9,197,111,NA,2,2,23049_114_1996
1996-04-23T00:00:00Z,1996,114,23053,m,c,0,77,11.5,23052,n,15,ad,7,182,110,NA,2,2,23052_114_1996
1996-04-23T00:00:00Z,1996,114,23054,f,c,0,75,10.1,23052,n,15,ad,7,182,110,NA,2,2,23052_114_1996
